<3> 2019-04-27 14:04:21  DM_Get_Net_info, success
<3> 2019-04-27 14:04:21  DM_Open, success
<3> 2019-04-27 14:04:21  DM_Close, success
<3> 2019-04-27 14:08:09  DM_Log_Init, success
<3> 2019-04-27 14:08:09  DM_Get_Sys_Info, <In>
<3> 2019-04-27 14:08:09  DM_Get_Sys_Info, success
<3> 2019-04-27 14:08:09  DM_Get_User_info, <In>
<3> 2019-04-27 14:08:09  DM_Get_User_info, success
<3> 2019-04-27 14:08:09  DM_Get_Net_info, <In>
<3> 2019-04-27 14:08:09  DM_Get_Net_info, success
<3> 2019-04-27 14:08:09  DM_Open, success
<3> 2019-04-27 14:08:09  DM_Close, success
<3> 2019-04-27 15:55:51  DM_Log_Init, success
<3> 2019-04-27 15:55:51  DM_Get_Sys_Info, <In>
<3> 2019-04-27 15:55:51  DM_Get_Sys_Info, success
<3> 2019-04-27 15:55:51  DM_Get_User_info, <In>
<3> 2019-04-27 15:55:51  DM_Get_User_info, success
<3> 2019-04-27 15:55:51  DM_Get_Net_info, <In>
<3> 2019-04-27 15:55:51  DM_Get_Net_info, success
<3> 2019-04-27 15:55:51  DM_Open, success
<3> 2019-04-27 15:55:51  DM_Close, success
